index,Site EPA ID,Site Name,City,County,State,Zip Code,EPA Region,Date Type,Date,Site Score,Federal Facility Indicator,EPA ID,NPL Status,Superfund Alternative Approach Agreement?,Site URL
328,INN000510479,Kokomo Contaminated Ground Water Plume,Kokomo,HOWARD,Indiana,46901-4900,5,Listing Date,3/26/2015,50.0,No,INN000510479,Final,No,www.epa.gov/superfund/kokomo-groundwater
329,IND980500524,Lake Sandy Jo (M&M Landfill),Gary,LAKE,Indiana,46404,5,Listing Date,9/8/1983,38.21,No,IND980500524,Final,No,www.epa.gov/superfund/lake-sandyjo-landfill
330,IND064703200,"Lakeland Disposal Service, Inc.",Claypool,KOSCIUSKO,Indiana,46510,5,Listing Date,3/31/1989,34.1,No,IND064703200,Final,No,www.epa.gov/superfund/lakeland-disposal
331,INN000510229,Lane Street Ground Water Contamination,Elkhart,ELKHART,Indiana,46514,5,Listing Date,9/23/2009,40.53,No,INN000510229,Final,No,www.epa.gov/superfund/lane-street-groundwater
332,IND980794341,Lemon Lane Landfill,Bloomington,MONROE,Indiana,47401,5,Listing Date,9/8/1983,29.31,No,IND980794341,Final,No,www.epa.gov/superfund/lemon-lane-landfill
333,IND982073785,Lusher Street Ground Water Contamination,Elkhart,ELKHART,Indiana,46516,5,Listing Date,3/19/2008,50.0,No,IND982073785,Final,No,www.epa.gov/superfund/lusher-street-groundwater
334,IND980794358,Main Street Well Field,Elkhart,ELKHART,Indiana,46514,5,Listing Date,9/8/1983,42.49,No,IND980794358,Final,No,www.epa.gov/superfund/main-street-wellfield
335,IND980794366,Marion (Bragg) Dump,Marion,GRANT,Indiana,46952,5,Listing Date,9/8/1983,35.25,No,IND980794366,Final,No,www.epa.gov/superfund/marion-bragg-dump
336,IND980615421,MIDCO I,Gary,LAKE,Indiana,46401,5,Listing Date,9/8/1983,46.44,No,IND980615421,Final,No,www.epa.gov/superfund/midco-i
337,IND980679559,MIDCO II,Gary,LAKE,Indiana,46406,5,Listing Date,6/10/1986,30.16,No,IND980679559,Final,No,www.epa.gov/superfund/midco-ii
338,IND980614556,Neal's Landfill (Bloomington),Bloomington,MONROE,Indiana,47401,5,Listing Date,9/8/1983,42.93,No,IND980614556,Final,No,www.epa.gov/superfund/neals-landfill-bloomington
339,IND980794432,Ninth Avenue Dump,Gary,LAKE,Indiana,46402,5,Listing Date,9/8/1983,40.32,No,IND980794432,Final,No,www.epa.gov/superfund/ninth-avenue-dump
340,INSFN0507828,North Shore Drive,Elkhart,ELKHART,Indiana,46514,5,Listing Date,9/22/2014,50.0,No,INSFN0507828,Final,No,www.epa.gov/superfund/north-shore-drive
341,IND050530872,"Northside Sanitary Landfill, Inc.",Zionsville,BOONE,Indiana,46077,5,Listing Date,9/21/1984,46.04,No,IND050530872,Final,No,www.epa.gov/superfund/northside-landfill
342,INN000508678,Pike and Mulberry Streets PCE Plume,Martinsville,MORGAN,Indiana,46151,5,Listing Date,5/24/2013,50.0,No,INN000508678,Final,No,www.epa.gov/superfund/pike-mulberry-pce
343,IND006377048,Prestolite Battery Division,Vincennes,KNOX,Indiana,47591,5,Listing Date,10/4/1989,40.63,No,IND006377048,Final,No,www.epa.gov/superfund/prestolite-battery
344,IND000807107,Reilly Tar & Chemical Corp. (Indianapolis Plant),Indianapolis,MARION,Indiana,46241,5,Listing Date,9/21/1984,34.03,No,IND000807107,Final,No,www.epa.gov/superfund/reilly-tar-chemical
345,IND040313017,Seymour Recycling Corp.,Seymour,JACKSON,Indiana,47274,5,Listing Date,9/8/1983,,No,IND040313017,Final,No,www.epa.gov/superfund/seymour-recycling
346,IND980997639,"Tippecanoe Sanitary Landfill, Inc",Lafayette,TIPPECANOE,Indiana,47905,5,Listing Date,8/30/1990,42.24,No,IND980997639,Final,No,www.epa.gov/superfund/tippecanoe-sanitary-landfill
347,IND047030226,"U.S. Smelter and Lead Refinery, Inc.",East Chicago,LAKE,Indiana,46312,5,Listing Date,4/9/2009,58.31,No,IND047030226,Final,No,www.epa.gov/superfund/ussmelter-lead-refinery
348,IND048989479,Wayne Waste Oil,Columbia City,WHITLEY,Indiana,46725,5,Listing Date,9/8/1983,42.33,No,IND048989479,Final,No,www.epa.gov/superfund/wayne-waste-oil
349,IAD980687933,Des Moines TCE,Des Moines,POLK,Iowa,50309,7,Listing Date,9/8/1983,42.28,No,IAD980687933,Final,No,www.epa.gov/superfund/desmoinestce
350,IAD005279039,"Electro-Coatings, Inc.",Cedar Rapids,LINN,Iowa,52402,7,Listing Date,10/4/1989,42.24,No,IAD005279039,Final,No,www.epa.gov/superfund/electrocoatings
351,IAD981124167,Fairfield Coal Gasification Plant,Fairfield,JEFFERSON,Iowa,52556,7,Listing Date,8/30/1990,38.05,No,IAD981124167,Final,No,www.epa.gov/superfund/fairfieldcoalgasplant
352,IA7213820445,Iowa Army Ammunition Plant,Middletown,DES MOINES,Iowa,52638,7,Listing Date,8/30/1990,29.73,Yes,IA7213820445,Final,No,www.epa.gov/superfund/iowaarmyammunition
353,IAD000606038,Lawrence Todtz Farm,Camanche,CLINTON,Iowa,52730,7,Listing Date,6/10/1986,52.11,No,IAD000606038,Final,No,www.epa.gov/superfund/lawrencetodtzfarm
354,IAD980969190,Mason City Coal Gasification Plant,Mason City,CERRO GORDO,Iowa,50401,7,Listing Date,12/16/1994,69.33,No,IAD980969190,Final,No,www.epa.gov/superfund/masoncitycoal
355,IAD069625655,Midwest Manufacturing/North Farm,Kellogg,JASPER,Iowa,50135,7,Listing Date,6/10/1986,32.04,No,IAD069625655,Final,No,www.epa.gov/superfund/midwestmanufacturingnorthfarm
356,IAD039954300,PCE Former Dry Cleaner,Atlantic,CASS,Iowa,50022,7,Listing Date,4/7/2016,50.0,No,IAD039954300,Final,No,www.epa.gov/superfund/PCEFormerDryCleaner
357,IAD980852578,Peoples Natural Gas Co.,Dubuque,DUBUQUE,Iowa,52001,7,Listing Date,8/30/1990,46.24,No,IAD980852578,Final,No,www.epa.gov/superfund/peoplesnaturalgas
358,IA0001610963,Railroad Avenue Groundwater Contamination,Des Moines,POLK,Iowa,50265,7,Listing Date,9/5/2002,50.0,No,IA0001610963,Final,No,www.epa.gov/superfund/railroadavenuegroundwater
359,IAD980630560,Shaw Avenue Dump,Charles City,FLOYD,Iowa,50616,7,Listing Date,7/22/1987,30.01,No,IAD980630560,Final,No,www.epa.gov/superfund/shawavenuedump
360,IAD980630487,Vogel Paint & Wax Co.,Orange City,SIOUX,Iowa,51306,7,Listing Date,6/10/1986,31.45,No,IAD980630487,Final,No,www.epa.gov/superfund/vogelpaintwax
361,KSD981710247,57th and North Broadway Streets Site,Wichita Heights,SEDGWICK,Kansas,67219,7,Listing Date,10/14/1992,50.0,No,KSD981710247,Final,No,www.epa.gov/superfund/57thandbroadway
362,KSD046746731,Ace Services,Colby,THOMAS,Kansas,67701,7,Listing Date,9/29/1995,50.0,No,KSD046746731,Final,No,www.epa.gov/superfund/aceservices
363,KSD031349624,"Chemical Commodities, Inc.",Olathe,JOHNSON,Kansas,66061,7,Listing Date,5/31/1994,50.0,No,KSD031349624,Final,No,www.epa.gov/superfund/chemicalcommoditiesinc
364,KSD980741862,Cherokee County,Cherokee County,CHEROKEE,Kansas,66739,7,Listing Date,9/8/1983,58.15,No,KSD980741862,Final,No,www.epa.gov/superfund/cherokeecounty
365,KSD980632301,Doepke Disposal (Holliday),Johnson County,JOHNSON,Kansas,66218,7,Listing Date,9/8/1983,47.46,No,KSD980632301,Final,No,www.epa.gov/superfund/doepkedisposalholliday
366,KSN000705026,Former United Zinc & Associated Smelters,Iola,ALLEN,Kansas,66749,7,Listing Date,5/24/2013,50.0,No,KSN000705026,Final,No,www.epa.gov/superfund/formerunitedzinc
367,KS6214020756,Fort Riley,Junction City,GEARY,Kansas,66441,7,Listing Date,8/30/1990,33.79,Yes,KS6214020756,Final,No,www.epa.gov/superfund/fortriley
368,KSD980631766,Obee Road,Hutchinson,RENO,Kansas,67501,7,Listing Date,7/22/1987,33.62,No,KSD980631766,Final,No,www.epa.gov/superfund/obeeroad
369,KSD000829846,Pester Refinery Co.,El Dorado,BUTLER,Kansas,67042,7,Listing Date,3/31/1989,30.16,No,KSD000829846,Final,No,www.epa.gov/superfund/pesterrefineryco
370,KSD065735912,"Plating, Inc.",Great Bend,BARTON,Kansas,67530,7,Listing Date,3/19/2008,50.0,No,KSD065735912,Final,No,www.epa.gov/superfund/platinginc
371,KSD980862726,Strother Field Industrial Park,Cowley County,COWLEY,Kansas,67156,7,Listing Date,6/10/1986,33.62,No,KSD980862726,Final,No,www.epa.gov/superfund/strotherfieldindustrial
372,KSD984985929,Wright Ground Water Contamination,Wright,FORD,Kansas,67882,7,Listing Date,6/17/1996,50.0,No,KSD984985929,Final,No,www.epa.gov/superfund/wrightgroundwater
373,KYD041981010,Airco,Calvert City,MARSHALL,Kentucky,42029,4,Listing Date,9/21/1984,33.29,No,KYD041981010,Final,No,www.epa.gov/superfund/airco
374,KYD006370167,B.F. Goodrich,Calvert City,MARSHALL,Kentucky,42029,4,Listing Date,9/8/1983,33.01,No,KYD006370167,Final,No,www.epa.gov/superfund/bf-goodrich
375,KYD980501019,Brantley Landfill,Island,MCLEAN,Kentucky,42350,4,Listing Date,2/21/1990,52.73,No,KYD980501019,Final,No,www.epa.gov/superfund/brantley-landfill
376,KYD045738291,"Caldwell Lace Leather Co., Inc.",Auburn,LOGAN,Kentucky,42206,4,Listing Date,8/30/1990,34.21,No,KYD045738291,Final,No,www.epa.gov/superfund/caldwell-lace-leather
377,KYD980602155,Distler Brickyard,West Point,HARDIN,Kentucky,40117,4,Listing Date,9/8/1983,44.77,No,KYD980602155,Final,No,www.epa.gov/superfund/distler-brickyard
378,KYD980601975,Distler Farm,Jefferson County,JEFFERSON,Kentucky,40272,4,Listing Date,9/8/1983,34.62,No,KYD980601975,Final,No,www.epa.gov/superfund/distler-farm
379,KYD980844625,Fort Hartford Coal Co. Stone Quarry,Olaton,OHIO,Kentucky,42361,4,Listing Date,8/30/1990,43.84,No,KYD980844625,Final,No,www.epa.gov/superfund/fort-hartford-coal
380,KYD980501076,"Green River Disposal, Inc.",Maceo,DAVIESS,Kentucky,42365,4,Listing Date,8/30/1990,29.12,No,KYD980501076,Final,No,www.epa.gov/superfund/green-river-disposal
381,KYD980729107,Maxey Flats Nuclear Disposal,Hillsboro,FLEMING,Kentucky,41049,4,Listing Date,6/10/1986,31.71,No,KYD980729107,Final,No,www.epa.gov/superfund/maxey-flats-nuclear
382,KYD985069954,National Electric Coil Co./Cooper Industries,Dayhoit,HARLAN,Kentucky,40824,4,Listing Date,10/14/1992,50.0,No,KYD985069954,Final,No,www.epa.gov/superfund/national-electric-coil-cooper-industries
383,KY8890008982,Paducah Gaseous Diffusion Plant (USDOE),Paducah,MCCRACKEN,Kentucky,42053,4,Listing Date,5/31/1994,56.95,Yes,KY8890008982,Final,No,www.epa.gov/superfund/paducha-gaseous-diffusion-plant
384,KYD097267413,Smith's Farm,Brooks,BULLITT,Kentucky,40165,4,Listing Date,6/10/1986,32.69,No,KYD097267413,Final,No,www.epa.gov/superfund/smith
385,KYD981028350,Tri-City Disposal Co.,Shepherdsville,BULLITT,Kentucky,40109,4,Listing Date,3/31/1989,33.82,No,KYD981028350,Final,No,www.epa.gov/superfund/tri-city-disposal
386,LAD981056997,Agriculture Street Landfill,New Orleans,ORLEANS,Louisiana,70126,6,Listing Date,12/16/1994,50.0,No,LAD981056997,Final,No,www.epa.gov/superfund/agriculture-street-landfill
387,LAN000604293,American Creosote DeRidder,DeRidder,BEAUREGARD,Louisiana,70634,6,Listing Date,1/18/2018,50.0,No,LAN000604293,Final,No,www.epa.gov/superfund/american-creosote-deRidder
388,LAD000239814,"American Creosote Works, Inc. (Winnfield Plant)",Winnfield,WINN,Louisiana,71483,6,Listing Date,10/14/1992,50.7,No,LAD000239814,Final,No,www.epa.gov/superfund/american-creosote-works-winnfield
389,LAD980745632,Bayou Bonfouca,Slidell,ST. TAMMANY,Louisiana,70458,6,Listing Date,9/8/1983,29.78,No,LAD980745632,Final,No,www.epa.gov/superfund/bayou-bonfouca
390,LAN000607134,Colonial Creosote,Bogalusa,WASHINGTON,Louisiana,70429,6,Listing Date,9/30/2015,50.0,No,LAN000607134,Final,No,www.epa.gov/superfund/colonial-creosote
391,LAD072606627,"Combustion, Inc.",Denham Springs,LIVINGSTON,Louisiana,70726,6,Listing Date,8/30/1990,33.79,No,LAD072606627,Final,No,www.epa.gov/superfund/combustion
392,LAD058475419,Delta Shipyard,Houma,TERREBONNE,Louisiana,70363,6,Listing Date,9/22/2014,48.05,No,LAD058475419,Final,No,www.epa.gov/superfund/delta-shipyard
393,LAN000605517,EVR-Wood Treating/Evangeline Refining Company,Jennings,ACADIA,Louisiana,70546,6,Listing Date,9/18/2012,48.2,No,LAN000605517,Final,No,www.epa.gov/superfund/evr-wood
394,LA0213820533,Louisiana Army Ammunition Plant,Doyline,WEBSTER,Louisiana,71130,6,Listing Date,3/13/1989,30.26,Yes,LA0213820533,Final,No,www.epa.gov/superfund/louisiana-army-ammunition-plant
395,LAD981522998,Madisonville Creosote Works,Madisonville,ST. TAMMANY,Louisiana,70447,6,Listing Date,12/23/1996,48.01,No,LAD981522998,Final,No,www.epa.gov/superfund/madisonville-creosote-works
396,LAD008473142,Marion Pressure Treating,Marion,UNION,Louisiana,71260,6,Listing Date,2/4/2000,50.0,No,LAD008473142,Final,No,www.epa.gov/superfund/marion-pressure-treating-company
397,LAD057482713,"Petro-Processors of Louisiana, Inc.",Scotlandville,EAST BATON ROUGE,Louisiana,70807,6,Listing Date,9/21/1984,41.44,No,LAD057482713,Final,No,www.epa.gov/superfund/petro-processors
398,LAD008434185,SBA Shipyard,Jennings,JEFFERSON DAVIS,Louisiana,70546,6,Listing Date,9/9/2016,50.0,No,LAD008434185,Final,No,www.epa.gov/superfund/sba-shipyard
399,ME8170022018,Brunswick Naval Air Station,Brunswick,CUMBERLAND,Maine,04011,1,Listing Date,7/22/1987,43.38,Yes,ME8170022018,Final,No,www.epa.gov/superfund/brunswick
400,MED980524128,Callahan Mine,Brooksville,HANCOCK,Maine,04617,1,Listing Date,9/5/2002,50.0,No,MED980524128,Final,No,www.epa.gov/superfund/callahan
401,MED981073711,Eastern Surplus,Meddybemps,WASHINGTON,Maine,04657,1,Listing Date,6/17/1996,50.0,No,MED981073711,Final,No,www.epa.gov/superfund/eastern
402,MED980915474,Eastland Woolen Mill,Corinna,PENOBSCOT,Maine,04928,1,Listing Date,7/22/1999,70.71,No,MED980915474,Final,No,www.epa.gov/superfund/eastland
403,MEN000106078,Keddy Mill,Windham,CUMBERLAND,Maine,04062,1,Listing Date,5/12/2014,50.0,No,MEN000106078,Final,No,www.epa.gov/superfund/keddy
404,MEN000103584,Leeds Metal,Leeds,ANDROSCOGGIN,Maine,04263,1,Listing Date,9/18/2012,32.25,No,MEN000103584,Final,No,www.epa.gov/superfund/leeds
405,ME9570024522,Loring Air Force Base,Limestone,AROOSTOOK,Maine,04751,1,Listing Date,2/21/1990,34.49,Yes,ME9570024522,Final,No,www.epa.gov/superfund/loring
406,MED980524078,McKin Co.,Gray,CUMBERLAND,Maine,04039,1,Listing Date,9/8/1983,60.97,No,MED980524078,Final,No,www.epa.gov/superfund/mckin
407,ME7170022019,Portsmouth Naval Shipyard,Kittery,YORK,Maine,03904,1,Listing Date,5/31/1994,50.0,Yes,ME7170022019,Final,No,www.epa.gov/superfund/portsmouth
408,MED980504393,Saco Municipal Landfill,Saco,YORK,Maine,04072,1,Listing Date,2/21/1990,29.49,No,MED980504393,Final,No,www.epa.gov/superfund/sacolandfill
409,MED042143883,"Union Chemical Co., Inc.",South Hope,KNOX,Maine,04862,1,Listing Date,10/4/1989,32.11,No,MED042143883,Final,No,www.epa.gov/superfund/union
410,MED985466168,West Site/Hows Corners,Plymouth,PENOBSCOT,Maine,04969,1,Listing Date,9/29/1995,50.0,No,MED985466168,Final,No,www.epa.gov/superfund/hows
411,MED980504435,Winthrop Landfill,Winthrop,KENNEBEC,Maine,04364,1,Listing Date,9/8/1983,35.62,No,MED980504435,Final,No,www.epa.gov/superfund/winthrop
412,MD2210020036,Aberdeen Proving Ground (Edgewood Area),Edgewood,HARFORD,Maryland,21010,3,Listing Date,2/21/1990,53.57,Yes,MD2210020036,Final,No,www.epa.gov/superfund/aberdeenprovingground-edgewoodarea
413,MD3210021355,Aberdeen Proving Ground (Michaelsville Landfill),Aberdeen,HARFORD,Maryland,21005,3,Listing Date,10/4/1989,31.09,Yes,MD3210021355,Final,No,www.epa.gov/superfund/aberdeenprovingground-michaelsvillelandfill
414,MD0570024000,Andrews Air Force Base,Camp Springs,PRINCE GEORGE'S,Maryland,20762,3,Listing Date,5/10/1999,50.0,Yes,MD0570024000,Final,No,www.epa.gov/superfund/andrewsafb
415,MD0120508940,Beltsville Agricultural Research Center (USDA),Beltsville,PRINCE GEORGE'S,Maryland,20705,3,Listing Date,5/31/1994,50.0,Yes,MD0120508940,Final,No,www.epa.gov/superfund/beltsville
416,MD9570024803,Brandywine DRMO,Brandywine,PRINCE GEORGE'S,Maryland,20613,3,Listing Date,5/10/1999,50.15,Yes,MD9570024803,Final,No,www.epa.gov/superfund/brandywine
417,MDD980504195,Bush Valley Landfill,Abingdon,HARFORD,Maryland,21009,3,Listing Date,3/31/1989,40.3,No,MDD980504195,Final,No,www.epa.gov/superfund/bushvalley
418,MDD003061447,Central Chemical (Hagerstown),Hagerstown,WASHINGTON,Maryland,21742,3,Listing Date,9/25/1997,50.0,No,MDD003061447,Final,No,www.epa.gov/superfund/centralchemical
419,MD4690307844,Curtis Bay Coast Guard Yard,Anne Arundel County,ANNE ARUNDEL,Maryland,21226,3,Listing Date,9/5/2002,50.0,Yes,MD4690307844,Final,No,www.epa.gov/superfund/curtisbay
420,MDD985366756,Dwyer Property Ground Water Plume,Elkton,CECIL,Maryland,21921,3,Listing Date,3/10/2011,50.0,No,MDD985366756,Final,No,www.epa.gov/superfund/dwyer
421,MDD985397249,Fort Detrick Area B Ground Water,Fort Detrick,FREDERICK,Maryland,21702,3,Listing Date,4/9/2009,49.52,Yes,MDD985397249,Final,No,www.epa.gov/superfund/ftdetrick
422,MD9210020567,Fort George G. Meade,Odenton,ANNE ARUNDEL,Maryland,21113,3,Listing Date,7/28/1998,51.44,Yes,MD9210020567,Final,No,www.epa.gov/superfund/ftmeade
423,MD7170024684,Indian Head Naval Surface Warfare Center,Indian Head,CHARLES,Maryland,20640,3,Listing Date,9/29/1995,50.0,Yes,MD7170024684,Final,No,www.epa.gov/superfund/indianhead
424,MDD980923783,Kane & Lombard Street Drums,Baltimore,BALTIMORE CITY,Maryland,21224,3,Listing Date,6/10/1986,30.15,No,MDD980923783,Final,No,www.epa.gov/superfund/kanelombard
425,MDD980691588,Limestone Road,Cumberland,ALLEGANY,Maryland,21502,3,Listing Date,9/8/1983,30.54,No,MDD980691588,Final,No,www.epa.gov/superfund/limestone
426,MDD982364341,"Ordnance Products, Inc.",Cecil County,CECIL,Maryland,21901-2507,3,Listing Date,9/25/1997,32.15,No,MDD982364341,Final,No,www.epa.gov/superfund/ordnanceproducts
427,MD7170024536,Patuxent River Naval Air Station,St. Mary's County,ST. MARY'S,Maryland,20670,3,Listing Date,5/31/1994,50.0,Yes,MD7170024536,Final,No,www.epa.gov/superfund/patuxentrivernavalairstation
428,MDD980705164,"Sand, Gravel and Stone",Elkton,CECIL,Maryland,21921,3,Listing Date,9/8/1983,41.08,No,MDD980705164,Final,No,www.epa.gov/superfund/sandgravelstone
429,MDD981038334,Sauer Dump,Dundalk,BALTIMORE,Maryland,21222,3,Listing Date,3/15/2012,50.0,No,MDD981038334,Final,No,www.epa.gov/superfund/sauerdump
430,MDD000218008,"Spectron, Inc.",Elkton,CECIL,Maryland,21921,3,Listing Date,5/31/1994,51.42,No,MDD000218008,Final,No,www.epa.gov/superfund/spectron
431,MDD980504344,Woodlawn County Landfill,Woodlawn,CECIL,Maryland,21917,3,Listing Date,7/22/1987,48.13,No,MDD980504344,Final,No,www.epa.gov/superfund/woodlawn
432,MAD001026319,Atlas Tack Corp.,Fairhaven,BRISTOL,Massachusetts,02719,1,Listing Date,2/21/1990,42.6,No,MAD001026319,Final,No,www.epa.gov/superfund/atlas
433,MAD001041987,Baird & McGuire,Holbrook,NORFOLK,Massachusetts,02343,1,Listing Date,9/8/1983,66.35,No,MAD001041987,Final,No,www.epa.gov/superfund/baird
434,MAN000106144,BJAT LLC,Franklin,NORFOLK,Massachusetts,02038,1,Listing Date,9/30/2015,41.91,No,MAN000106144,Final,No,www.epa.gov/superfund/bjat
435,MAD982191363,Blackburn and Union Privileges,Walpole,NORFOLK,Massachusetts,02081,1,Listing Date,5/31/1994,50.0,No,MAD982191363,Final,No,www.epa.gov/superfund/blackburn
436,MAD003809266,Charles-George Reclamation Trust Landfill,Tyngsborough,MIDDLESEX,Massachusetts,01879,1,Listing Date,9/8/1983,47.2,No,MAD003809266,Final,No,www.epa.gov/superfund/charlesgeorge
437,MAD001031574,Creese & Cook Tannery (Former),Danvers,ESSEX,Massachusetts,01923,1,Listing Date,5/24/2013,60.57,No,MAD001031574,Final,No,www.epa.gov/superfund/creese
438,MA7210025154,Fort Devens,Fort Devens,MIDDLESEX,Massachusetts,01433,1,Listing Date,11/21/1989,42.24,Yes,MA7210025154,Final,No,www.epa.gov/superfund/devens
439,MAD980732317,Groveland Wells,Groveland,ESSEX,Massachusetts,01834,1,Listing Date,9/8/1983,40.74,No,MAD980732317,Final,No,www.epa.gov/superfund/groveland
440,MA8570024424,Hanscom Field/Hanscom Air Force Base,Bedford,MIDDLESEX,Massachusetts,01730,1,Listing Date,5/31/1994,50.0,Yes,MA8570024424,Final,No,www.epa.gov/superfund/hanscom
441,MAD980523336,Haverhill Municipal Landfill,Haverhill,ESSEX,Massachusetts,01830,1,Listing Date,6/10/1986,30.29,No,MAD980523336,Final,No,www.epa.gov/superfund/haverhill
442,MAD980732341,Hocomonco Pond,Westborough,WORCESTER,Massachusetts,01581,1,Listing Date,9/8/1983,44.8,No,MAD980732341,Final,No,www.epa.gov/superfund/hocomonco
443,MAD076580950,Industri-Plex,Woburn,MIDDLESEX,Massachusetts,01801,1,Listing Date,9/8/1983,72.42,No,MAD076580950,Final,No,www.epa.gov/superfund/industriplex
444,MAD051787323,Iron Horse Park,Billerica,MIDDLESEX,Massachusetts,01862,1,Listing Date,9/21/1984,42.93,No,MAD051787323,Final,No,www.epa.gov/superfund/ironhorse
445,MAD001409408,"Microfab, Inc. (Former)",Amesbury,ESSEX,Massachusetts,01913,1,Listing Date,8/3/2017,50.0,No,MAD001409408,Final,No,www.epa.gov/superfund/microfab
446,MA1210020631,"Natick Laboratory Army Research, Development, and Engineering Center",Natick,MIDDLESEX,Massachusetts,01760,1,Listing Date,5/31/1994,50.0,Yes,MA1210020631,Final,No,www.epa.gov/superfund/naticklab
447,MA6170023570,Naval Weapons Industrial Reserve Plant,Bedford,MIDDLESEX,Massachusetts,01730,1,Listing Date,5/31/1994,50.0,Yes,MA6170023570,Final,No,www.epa.gov/superfund/nwirp
448,MAD980731335,New Bedford Site,New Bedford,BRISTOL,Massachusetts,02740,1,Listing Date,9/8/1983,,No,MAD980731335,Final,No,www.epa.gov/superfund/newbedford
449,MAD062166335,"Nuclear Metals, Inc.",Concord,MIDDLESEX,Massachusetts,01742-3897,1,Listing Date,6/14/2001,58.31,No,MAD062166335,Final,No,www.epa.gov/superfund/nmi
450,MAD990685422,Nyanza Chemical Waste Dump,Ashland,MIDDLESEX,Massachusetts,01721,1,Listing Date,9/8/1983,69.22,No,MAD990685422,Final,No,www.epa.gov/superfund/nyanza
451,MAD001403104,Olin Chemical,Wilmington,MIDDLESEX,Massachusetts,01887,1,Listing Date,4/19/2006,50.0,No,MAD001403104,Final,No,www.epa.gov/superfund/olin
452,MA2570024487,Otis Air National Guard Base/Camp Edwards,Falmouth,BARNSTABLE,Massachusetts,02542,1,Listing Date,11/21/1989,45.92,Yes,MA2570024487,Final,No,www.epa.gov/superfund/otis
453,MAD980731483,PSC Resources,Palmer,HAMPDEN,Massachusetts,01069,1,Listing Date,9/8/1983,38.66,No,MAD980731483,Final,No,www.epa.gov/superfund/psc
454,MAD980520621,"Re-Solve, Inc.",Dartmouth,BRISTOL,Massachusetts,02747,1,Listing Date,9/8/1983,47.71,No,MAD980520621,Final,No,www.epa.gov/superfund/resolve
455,MAD980524169,Rose Disposal Pit,Lanesboro,BERKSHIRE,Massachusetts,01237,1,Listing Date,6/10/1986,33.03,No,MAD980524169,Final,No,www.epa.gov/superfund/ftrose
456,MAD000192393,Silresim Chemical Corp.,Lowell,MIDDLESEX,Massachusetts,01853,1,Listing Date,9/8/1983,42.72,No,MAD000192393,Final,No,www.epa.gov/superfund/silresim
457,MA2170022022,South Weymouth Naval Air Station,Weymouth,NORFOLK,Massachusetts,02190,1,Listing Date,5/31/1994,50.0,Yes,MA2170022022,Final,No,www.epa.gov/superfund/sweymouth
458,MAD980731343,Sullivan's Ledge,New Bedford,BRISTOL,Massachusetts,02740,1,Listing Date,9/21/1984,32.77,No,MAD980731343,Final,No,www.epa.gov/superfund/sullivansledge
459,MAD980520696,Sutton Brook Disposal Area,Tewksbury,MIDDLESEX,Massachusetts,01876,1,Listing Date,6/14/2001,57.12,No,MAD980520696,Final,No,www.epa.gov/superfund/suttonbrook
460,MAD001002252,"W.R. Grace & Co., Inc. (Acton Plant)",Acton,MIDDLESEX,Massachusetts,01720,1,Listing Date,9/8/1983,59.31,No,MAD001002252,Final,No,www.epa.gov/superfund/graceacton
461,MAD001197755,Walton & Lonsbury Inc.,Attleboro,BRISTOL,Massachusetts,02703,1,Listing Date,5/24/2013,58.3,No,MAD001197755,Final,No,www.epa.gov/superfund/walton
462,MAD980732168,Wells G&H,Woburn,MIDDLESEX,Massachusetts,01801,1,Listing Date,9/8/1983,42.71,No,MAD980732168,Final,No,www.epa.gov/superfund/wellsgh
463,MID006522791,Adam's Plating,Lansing,INGHAM,Michigan,48917,5,Listing Date,3/31/1989,29.64,No,MID006522791,Final,No,www.epa.gov/superfund/adams-plating
464,MI0001119106,Aircraft Components (D & L Sales),Benton Harbor,BERRIEN,Michigan,49022,5,Listing Date,6/17/1996,,No,MI0001119106,Final,No,www.epa.gov/superfund/aircraft-components
465,MID980504450,Albion-Sheridan Township Landfill,Albion,CALHOUN,Michigan,49224,5,Listing Date,10/4/1989,33.79,No,MID980504450,Final,No,www.epa.gov/superfund/albion-sheridan-landfill
466,MID006007306,"Allied Paper, Inc./Portage Creek/Kalamazoo River",Kalamazoo,KALAMAZOO,Michigan,49003,5,Listing Date,8/30/1990,36.41,No,MID006007306,Final,No,www.epa.gov/superfund/allied-paper-kalamazoo
467,MID006029102,"American Anodco, Inc.",Ionia,IONIA,Michigan,48846,5,Listing Date,3/31/1989,57.99,No,MID006029102,Final,No,www.epa.gov/superfund/american-anodco
468,MID980794382,"Auto Ion Chemicals, Inc.",Kalamazoo,KALAMAZOO,Michigan,49006,5,Listing Date,9/8/1983,32.07,No,MID980794382,Final,No,www.epa.gov/superfund/auto-ion-chemicals
469,MID017188673,"Barrels, Inc.",Lansing,INGHAM,Michigan,48906,5,Listing Date,10/4/1989,42.24,No,MID017188673,Final,No,www.epa.gov/superfund/barrels
470,MID005107222,Bendix Corp./Allied Automotive,St. Joseph,BERRIEN,Michigan,49085,5,Listing Date,2/21/1990,37.27,No,MID005107222,Final,No,www.epa.gov/superfund/bendix-corp-allied-automotive
471,MID006030373,"Bofors Nobel, Inc.",Muskegon,MUSKEGON,Michigan,49442,5,Listing Date,3/31/1989,53.42,No,MID006030373,Final,No,www.epa.gov/superfund/bofors-nobel
